Track,fraction
Control-GFP-R1.bam,0.84341
Control-GFP-R2.bam,0.459477
Control-GFP-R3.bam,0.940895
Nxf1-GFP-R1.bam,0.716212
Nxf1-GFP-R2.bam,0.870663
Nxf1-GFP-R3.bam,0.911379
SRSF1-GFP-R1.bam,0.488381
SRSF1-GFP-R2.bam,0.770336
SRSF1-GFP-R3.bam,0.868628
SRSF2-GFP-R1.bam,0.69842
SRSF2-GFP-R2.bam,0.090992
SRSF2-GFP-R3.bam,0.459749
SRSF3-GFP-R1.bam,0.842288
SRSF3-GFP-R2.bam,0.605017
SRSF3-GFP-R3.bam,0.629273
SRSF4-GFP-R1.bam,0.862526
SRSF4-GFP-R2.bam,0.362445
SRSF4-GFP-R3.bam,0.880158
SRSF5-GFP-R1.bam,0.888456
SRSF5-GFP-R2.bam,0.421333
SRSF5-GFP-R3.bam,0.728782
SRSF6-GFP-R1.bam,0.674026
SRSF6-GFP-R2.bam,0.804347
SRSF6-GFP-R3.bam,0.688882
SRSF7-GFP-R1.bam,0.6026
SRSF7-GFP-R2.bam,0.32011
SRSF7-GFP-R3.bam,0.405778